date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2022-05-27,2022,Improve Access to Food & Livelihoods Security to the most Vulnerable Populations in Bardale District of Bay Region.,630000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,African Relief and Development,NGO,Food Security,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-05-27,,,,,254776,SOM-22/3485/RA2 /FSC/NGO/22018,2022-07-04,2022-07-04
2022-05-27,2022,"Provision of Emergency WASH to Drought Affected Households in Odweine District, Togdheer Region.",600000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,ActionAid International Somaliland,NGO,Food Security,SOM,"Cash Based Emergency Support for drought affected people of Laas Canood, Sol",HSOM22-FSC-184619-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-05-27,Drought,,,,254778,SOM-22/3485/RA2 /FSC/INGO/21993,2022-07-04,2022-07-04
2022-05-14,2022,Providing Life Saving Treatment Nutrition Services to Somali Vulnerable Communities most severely affected by the drought,1999798,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,World Food Programme,UN agency,Nutrition,SOM,Providing Life Saving Treatment and Prevention Nutrition Services to the Vulnerable Communities in Somalia,HSOM22-NUT-184757-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-05-14,Drought,,,,254761,SOM-22/3485/SA1/Nut/UN/21552,2022-07-04,2022-09-15
2022-04-28,2022,Integrated Health and Nutrition response for drought affected communities in Galdogob and Jariban districts.,552000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Save the Children,NGO,Health,SOM,Essential and Life-saving integrated Health assistance for Vulnerable Populations in Somalia,HSOM22-HEA-184484-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-28,Drought,,,,254748,SOM-22/3485/SA1/H-Nut/INGO/21554,2022-07-04,2022-07-04
2022-04-28,2022,Integrated Health and Nutrition response for drought affected communities in Galdogob and Jariban districts.,648000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Save the Children,NGO,Nutrition,SOM,Integrated lifesaving treatment and prevention of acute malnutrition among children U5 and PLW in Somalia,HSOM22-NUT-184566-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-28,Drought,,,,254749,SOM-22/3485/SA1/H-Nut/INGO/21554,2022-07-04,2022-07-04
2022-04-28,2022,"Integrated emergency lifesaving health and nutrition project aimed at reducing mobility and related mortality to vulnerable rural communities in Kismayo district, Lower Juba region Somalia.",332459,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somali Lifeline Organization,NGO,Nutrition,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-28,,,,,254769,SOM-22/3485/SA1/Nut-H/NGO/21502,2022-07-04,2022-11-25
2022-04-28,2022,"Integrated emergency lifesaving health and nutrition project aimed at reducing mobility and related mortality to vulnerable rural communities in Kismayo district, Lower Juba region Somalia.",283206,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somali Lifeline Organization,NGO,Health,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-28,,,,,254770,SOM-22/3485/SA1/Nut-H/NGO/21502,2022-07-04,2022-11-25
2022-04-20,2022,"Lifesaving response to drought affected pastoral households in Eyl district of Nugal region, Somalia",500000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Himilo Organization for Development,NGO,Food Security,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-04-20,Drought,,,,254702,SOM-22/3485/SA1/FSC/NGO/21488,2022-07-01,2022-07-01
2022-04-20,2022,Provision of integrated lifesaving nutrition and WASH services to drought affected population in Iskushuban district of Bari region,301000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Nomadic Development Organization,NGO,Nutrition,SOM,Reduction of morbidity and mortality related to Acute Malnutrition among PLW and the under five children in Buuhoodle district of Togdheer region,HSOM22-NUT-184559-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-20,Drought,,,,254735,SOM-22/3485/SA1/Nut-WASH/NGO/21478,2022-07-04,2022-07-04
2022-04-20,2022,Provision of integrated lifesaving nutrition and WASH services to drought affected population in Iskushuban district of Bari region,398999,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Nomadic Assistance for Peace and Development,NGO,Water Sanitation Hygiene,SOM,"Vulnerable IDP and Host Communities in Jubaland, Banadir and Galgadud have  Increased Access to WASH Services ",HSOM22-WSH-184614-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-20,Drought,,,,254736,SOM-22/3485/SA1/Nut-WASH/NGO/21478,2022-07-04,2022-07-04
2022-04-20,2022,"Strengthened and improved equitable access to quality lifesaving, curative and preventative nutrition and emergency lifesaving health services for vulnerable and crisis affected groups in Burtinle District of Nugal Region of Puntland State",297000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,World Vision Somalia,NGO,Nutrition,SOM,"Nutrition Status of Children in South West, Jubaland, Puntland and Somaliland States Improved",HSOM22-NUT-184201-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-20,,,,,254765,SOM-22/3485/SA1/H-Nut/INGO/21431,2022-07-04,2022-07-04
2022-04-20,2022,"Strengthened and improved equitable access to quality lifesaving, curative and preventative nutrition and emergency lifesaving health services for vulnerable and crisis affected groups in Burtinle District of Nugal Region of Puntland State",253000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,World Vision Somalia,NGO,Health,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-20,,,,,254766,SOM-22/3485/SA1/H-Nut/INGO/21431,2022-07-04,2022-07-04
2022-04-20,2022,Integrated Emergency Health and Nutrition Services for Vulnerable Population Groups in Qandala District of Bari Region in Puntland Somalia,253000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Integrated Service for Displaced Population,NGO,Health,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-20,,,,,254771,SOM-22/3485/SA1/Nut-H/NGO/21524,2022-07-04,2022-11-25
2022-04-20,2022,Integrated Emergency Health and Nutrition Services for Vulnerable Population Groups in Qandala District of Bari Region in Puntland Somalia,297000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Integrated Service for Displaced Population,NGO,Nutrition,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-20,,,,,254772,SOM-22/3485/SA1/Nut-H/NGO/21524,2022-07-04,2022-11-25
2022-04-14,,"""Integrated Lifesaving WASH and Nutrition Assistance for drought-affected populations in Dhobley in Afmadow district, Lower Juba region
""",299927,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,American Refugee Committee (Alight),NGO,Nutrition,SOM,Provision of equitable access to quality lifesaving treatment and prevention of acute malnutrition among children (6-59months) and  pregnant and lactating women (PLW) in Somalia ,HSOM22-NUT-184344-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-14,,,,,250177,SOM-22/3485/SA1/Nut-WASH/INGO/21513,2022-04-18,2022-04-18
2022-04-14,,"""Integrated Lifesaving WASH and Nutrition Assistance for drought-affected populations in Dhobley in Afmadow district, Lower Juba region
""",449891,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,American Refugee Committee (Alight),NGO,Water Sanitation Hygiene,SOM,"Provision of life-saving WASH assistance and restoration of access to safe and equitable basic WASH services to drought, conflict, floods and diseases outbreaks affected most vulnerable communities including displaced, non- displaced populations and Institutions from Lower juba, Benadir, and Sool  region of Somalia/Somaliland.",HSOM22-WSH-184323-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-14,,,,,250178,SOM-22/3485/SA1/Nut-WASH/INGO/21513,2022-04-18,2022-04-18
2022-04-14,,Lifesaving Response to Worsening Drought in Hotspot Locations within Puntland,593912,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,International Rescue Committee,NGO,Water Sanitation Hygiene,SOM,"WASH Response to Drought and conflict - Affected Population in Mudug, Nugaal, Sanaag, Bari, Galgaduud and Hiraan regions in Somalia ",HSOM22-WSH-184756-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-14,,,,,250190,SOM-22/3485/SA1/WASH/INGO/21453,2022-04-19,2022-04-19
2022-04-14,,Provision of timely life-saving WASH Services to the most vulnerable communities affected by droughts in Burtinle,445368,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Islamic Relief Worldwide,NGO,Water Sanitation Hygiene,SOM,Provision of Integrated Emergency WASH Services in Diinsoor and Bardale ,HSOM22-WSH-184253-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-14,,,,,250191,SOM-22/3485/SA1/WASH/INGO/21556,2022-04-19,2022-04-19
2022-04-13,,"Provide lifesaving WASH services to most vulnerable drought affected/displaced communities including IDPs to prevent loss of lives and drought induced displacement Provide lifesaving WASH services to most vulnerable drought affected/displaced communities including IDPs to prevent loss of lives and drought induced displacement in Baardheere district, of Gedo region, Somalia.",499999,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Action for Social and Economic Progress,NGO,Water Sanitation Hygiene,SOM,"Provide lifesaving, equitable, dignified, safe and sustainable access to basic WASH services for vulnerable populations affected by drought and conflicts in Bardheere District of Somalia",HSOM22-WSH-184509-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-13,,,,,250164,SOM-22/3485/SA1/WASH/NGO/21466,2022-04-18,2022-04-18
2022-04-13,,"Provision of life-saving WASH services to vulnerable and underserved drought-affected/displaced communities in Luuq districts, Gedo region",449972,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somali Young Doctors Association,NGO,Water Sanitation Hygiene,SOM,"Provision of Emergency Lifesaving Water, Sanitation and Hygiene services to Flood and Conflict Affected Communities in Benadir and Lower Shabelle Region.",HSOM22-WSH-184231-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-13,,,,,250170,SOM-22/3485/SA1/WASH/NGO/21422,2022-04-18,2022-04-18
2022-04-13,,"Provision of lifesaving Water, sanitation, and hygiene (WASH) assistance to the most vulnerable drought-affected/displaced populations in Qandala and Bosasso of the Bari region, Somalia's Puntland state",899988,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Puntland Minority Women Development Organisation,NGO,Water Sanitation Hygiene,SOM,"Provision of life-saving WASH assistance to drought and conflict affected communities and improvement of health standards for the IDPs, and Host Communities in Mudug and Nugaal in puntland state of Somalia.",HSOM22-WSH-184190-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-13,,,,,250198,SOM-22/3485/SA1/WASH/NGO/21533,2022-04-19,2022-04-19
2022-04-13,,Strengthening Coordination and Self-Management of Drought Affected IDPs in Bosaso through an Integrated Mechanisms,149655,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Puntland Youth and Social Development Aassociation,NGO,Camp Coordination / Management,SOM,"Strengthening coordination and self-management in IDPs settlements of Bosaso, Qardho, Garowe, Armo, Burtinle, Laasqoray and Ceelafwayne through improved coordination mechanisms",HSOM22-CCM-184317-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-13,,,,,250199,SOM-22/3485/SA1/CCCM/NGO/21464,2022-04-19,2022-04-19
2022-04-13,,"Integrated Nutrition and health response to drought affected communities in Lug district Gedo region Health (46%), Nutrition (54%)",499946,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somali Relief and Development Society,NGO,Nutrition,SOM,"Provision of integrated management for severely and moderately acute malnutrition among boys, girls and PLWs  including disable group in Lower Juba and Gedo  regions Somalia",HSOM22-NUT-184425-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-13,,,,,250201,SOM-22/3485/SA1/H-Nut/NGO/21535,2022-04-19,2022-04-19
2022-04-13,2022,Integrated Emergency lifesaving WASH and NUTRITION support for the most vulnerable population affected by natural disasters (drought) and the impact of COVID-19 Pandemic.,448428,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Solutions for Humanity International,NGO,Water Sanitation Hygiene,SOM,"Increased and Sustained access to lifesaving Water, Sanitation and Hygiene (WASH) support including COVID-19 related BCCE to communities affected by protracted drought and conflict in Lower Juba region of Somalia.",HSOM22-WSH-184542-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-13,Drought,,,,254750,SOM-22/3485/SA1/WASH-Nut/NGO/21508,2022-07-04,2022-07-04
2022-04-13,2022,Integrated Emergency lifesaving WASH and NUTRITION support for the most vulnerable population affected by natural disasters (drought) and the impact of COVID-19 Pandemic.,201468,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Solutions for Humanity International,NGO,Nutrition,SOM,"Improved, sustained access and utilization of integrated, essential and quality nutrition services in Lower Juba region of Somalia aimed to reach 24000<5 children, pregnant and Lactating women.",HSOM22-NUT-184457-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-13,Drought,,,,254751,SOM-22/3485/SA1/WASH-Nut/NGO/21508,2022-07-04,2022-07-04
2022-04-12,,Provision of emergency and sustained lifesaving WASH services to most vulnerable crisis communities living In underserved areas in Bardheere district of Gedo Region,400000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Action for Relief and Development,NGO,Water Sanitation Hygiene,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250161,SOM-22/3485/SA1/WASH/NGO/21540,2022-04-18,2022-04-18
2022-04-12,,"Provide lifesaving WASH services to the most vulnerable drought-affected/displaced communities including IDPs to prevent loss of lives and drought-induced displacement in lower juba region, kismayo IDPs and rural locations.",500000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Taakulo Somaliland Community,NGO,Water Sanitation Hygiene,SOM,WASH assistance for droughts affected vulnerable communities. ,HSOM22-WSH-184772-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250171,SOM-22/3485/SA1/WASH/NGO/21532,2022-04-18,2022-04-18
2022-04-12,,"Provision of Integrated package of Emergency Education and Child Protection services for drought affected children including children with disability in Nugal (Burtinle) and Bari (Iskushuban,Qandala) Region",525000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Tadamun Social Society,NGO,Education,SOM,Access to lifesaving education in emergencies for Crisis affected children including children with disability in Bari and Sool regions.,HSOM22-EDU-184301-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250172,SOM-22/3485/SA1/Ed-CP/NGO/21420,2022-04-18,2022-04-18
2022-04-12,,"Provision of Integrated package of Emergency Education and Child Protection services for drought affected children including children with disability in Nugal (Burtinle) and Bari (Iskushuban,Qandala) Region",225000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Tadamun Social Society,NGO,Protection - Child Protection,SOM,"Child protection intervention to Vulnerable crisis affected boys and girls including children with disabilities in Hard-to-Reach Areas of Sool, Bari, Sanaag, Nugaal and Mudug Regions",HSOM22-PRO-184169-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250173,SOM-22/3485/SA1/Ed-CP/NGO/21420,2022-04-18,2022-04-18
2022-04-12,,"Provision of an integrated package of Emergency Primary Health Care services and GBV prevention response and mitigation mechanism through quality Primary health care services and strengthening of access to protection services for Drought affected population in Iskushuban District, Bari region.",200010,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Tadamun Social Society,NGO,Health,SOM,"Provision of essential primary health care services to Crisis Affected people in hard to reach areas in Bari, Mudug, Nugaal, Sanaag and Sool Regions",HSOM22-HEA-184363-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250174,SOM-22/3485/SA1/H-GBV/NGO/21433,2022-04-18,2022-04-18
2022-04-12,,"Provision of an integrated package of Emergency Primary Health Care services and GBV prevention response and mitigation mechanism through quality Primary health care services and strengthening of access to protection services for Drought affected population in Iskushuban District, Bari region.",99990,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Tadamun Social Society,NGO,Protection - Gender-Based Violence,SOM,"Strengthening and Improving the protective environment for the most vulnerable internally displaced populations and host communities through gender-based violence prevention response and mitigation mechanism in Bari, Nugaal, Sanaag, Sool and Mudug Region",HSOM22-PRO-184352-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250175,SOM-22/3485/SA1/H-GBV/NGO/21433,2022-04-18,2022-04-18
2022-04-12,,"Provision of life saving WASH services and ensure dignity for drought affected communities in Luuq District, Gedo region Somalia",500000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Cooperazione Internazionale - COOPI,NGO,Water Sanitation Hygiene,SOM,Response to immediate and sustainable access to safe and equitable basic WASH services in Somalia ,HSOM22-WSH-184636-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250180,SOM-22/3485/SA1/WASH/INGO/21490,2022-04-18,2022-04-18
2022-04-12,,Lifesaving WASH interventions to drought affected communities and newly displaced IDPs in Kismayo district,496873,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,General Service Agency,Other,Water Sanitation Hygiene,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250184,SOM-22/3485/SA1/WASH/NGO/21555,2022-04-18,2022-11-25
2022-04-12,,Integrating CCCM response by strengthening safe access to multi sectorial services including emergency responses at site level in Dhobley and Afmadow IDP Camps,199930,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Iimaan Relief and Development Organization,NGO,Camp Coordination / Management,SOM,"Improve living conditions of Internally Displaced People (IDPs) through site development, care and maintenance and decongestion initiatives in Afgoye, Wanla Weyne and Marka (lower Shabelle region), Dhusaamareeb (Galgaduud region) and Mogadishu (Kahda, Daynile, Dharkeenley) Banadir region",HSOM22-CCM-184280-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250189,SOM-22/3485/SA1/CCCM/INGO/21465,2022-04-19,2022-04-19
2022-04-12,,"Provision of lifesaving Water, Sanitation and Hygiene (WASH) Response to Drought-Affected Communities and newly Displaced IDPs in Garbaharey District, Gedo Region - Somalia",499928,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Mercy Corps,NGO,Water Sanitation Hygiene,SOM,"Emergency safe water, sanitation, and hygiene (WASH) crisis support for affected vulnerable populations in Bay, Bakool, Lower Juba, regions of Somalia.",HSOM22-WSH-184430-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250193,SOM-22/3485/SA1/WASH/INGO/21475,2022-04-19,2022-04-19
2022-04-12,,"Provision of lifesaving Water, Sanitation and Hygiene (WASH) support to communities affected by drought in Garbaharey district Gedo region Somalia",399152,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somali Relief and Development Organization,NGO,Water Sanitation Hygiene,SOM,WASH ASSISTANCE TO DISASTER AFFECTED AND DISPLACED PEOPLE,HSOM22-WSH-184769-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250203,SOM-22/3485/SA1/WASH/NGO/21444,2022-04-19,2022-04-19
2022-04-12,,"Lifesaving and life-sustaining emergency food security and livelihood support to drought-affected communities in Galdogob District, Mudug region",200039,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,World Vision International,NGO,Food Security,SOM,Improved Access to Food and Livelihood Options for Vulnerable Households in Somalia,HSOM22-FSC-184176-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-12,,,,,250204,SOM-22/3485/SA1/FSC/INGO/21434,2022-04-19,2022-04-19
2022-04-12,2022,"Provision of lifesaving Water, Sanitation and Hygiene (WASH) support to communities affected by drought in Garbaharey district Gedo region Somalia",399153,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somali Relief and Development Society,NGO,Water Sanitation Hygiene,SOM,"Provision of emergency and sustainable safe water, sanitation and hygiene to drought/AWD and flood affected communities in Gedo and Lower Juba region Somalia ",HSOM22-WSH-184427-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-12,Drought,,,,254754,SOM-22/3485/SA1/WASH/NGO/21444,2022-07-04,2022-07-04
2022-04-12,2022,"Lifesaving and life-sustaining emergency food security and livelihood support to drought-affected communities in Galdogob District, Mudug region",200039,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,World Vision Somalia,NGO,Food Security,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-04-12,,,,,254767,SOM-22/3485/SA1/FSC/INGO/21434,2022-07-04,2022-07-04
2022-04-11,,"Provision of lifesaving and emergency livelihoods support to the most vulnerable agro-pastoral affected by drought in Rural Bardhere districts of Gedo region, Somalia.",500000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Active in Development Aid,NGO,Food Security,SOM,"Providing Food Security and Livelihood Assistance to the most vulnerable communities in Gedo, Lower Juba and Galgadud regions",HSOM22-FSC-184286-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250165,SOM-22/3485/SA1/FSC/NGO/21437,2022-04-18,2022-04-18
2022-04-11,,"Provision of lifesaving WASH services to drought affected communities and newly displaced IDPs in Ceelwaq district, Gedo region.",500000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Active in Development Aid,NGO,Water Sanitation Hygiene,SOM,"Provision of emergency WASH services to drought and conflict affected populations in Gedo, Galgaduud and Lower Jubba regions of Somalia.",HSOM22-WSH-184459-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250166,SOM-22/3485/SA1/WASH/NGO/21477,2022-04-18,2022-04-18
2022-04-11,,"Emergency livelihoods support to the most vulnerable drought affected populations (farmers, pastoralists, agro pastoralists and rural IDPs)",579929,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Aid Vision,NGO,Food Security,SOM,Provision of Livelihood Support and Farm Inputs to Crisis-Affected IDPs in Banadir and Farmers in Middle Shabelle of Somalia.,HSOM22-FSC-184155-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250169,SOM-22/3485/SA1/FSC/NGO/21472,2022-04-18,2022-04-18
2022-04-11,,Integrated health and nutrition response to drought affected communities in xudur district Bakool region,274172,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Hidig Relief And Development Organization,NGO,Nutrition,SOM,"Provision of integrated management for severely and moderately acute malnutrition among boys, girls and PLWs Hiran, Bay and Bakool regions Somalia",HSOM22-NUT-184418-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250182,SOM-22/3485/RA3/Nut-H/NGO/22692,2022-04-18,2022-11-25
2022-04-11,,Integrated Emergency Shelter/NFIs and CCCM/HLP Support for Drought-affected Communities in Luuq and Bardere in Gedo,950000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Horn of Africa Peace Network,NGO,Emergency Shelter and NFI,SOM,EMERGENCY SHELTER & NFI ASSISTANCE TO IDPs & HC IN GEDO AND LOWER JUBA,HSOM22-SHL-184468-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250183,SOM-22/3485/SA1/Shelter/NGO/21471,2022-04-18,2022-04-18
2022-04-11,,"Integrated Health and Nutrition Services for Crisis Affected populations To Enhance Access to High Quality and Life Saving Services in Baardhere district , Gedo Region Somalia",229990,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Human Development Concern,NGO,Health,SOM,"Provision Of Emergency Life-Saving Primary And Secondary Health Care, For Crisis Affected Populations In Baardhere, Dollow, Garbaharey And Ceel-Waaq Districts In Gedo Region",HSOM22-HEA-184527-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-04-18,2022-04-11,,,,,250185,SOM-22/3485/SA1/H-Nut/NGO/21430,2022-04-18,2022-04-18
